,name,rating,reviews,salaries,jobs,ctypes,rated_for
2427,MITS GLOBAL CONSULTING,4.6,279,480,--,Recruitment | 5k-10k Employees | Mumbai +9 more,"Work Satisfaction, Company Culture, Work Life Balance"
2428,Runwal Group,3.8,278,1.9k,--,Real Estate | 201-500 Employees | 45 years old | Mumbai +7 more,Job Security
2429,Sri Krishna Pharmaceuticals,4.0,278,1.6k,--,Pharma | 201-500 Employees | 49 years old | Hyderabad/Secunderabad +8 more,"Work Life Balance, Job Security"
2430,DataMetica,4.0,278,2k,33,IT Services & Consulting | 501-1k Employees | 10 years old | Pune +3 more,"Skill Development / Learning, Job Security, Salary & Benefits"
2431,SoftwareONE,3.9,278,2.7k,17,IT Services & Consulting | 1k-5k Employees | 23 years old | Gurgaon/Gurugram +17 more,"Job Security, Company Culture, Work Life Balance"
2432,FCm Travel Solutions,3.6,278,1.5k,--,1k-5k Employees | 37 years old | Brisbane +21 more,
2433,FoodPanda,4.0,278,1.4k,2,Internet | 501-1k Employees | Startup | 11 years old | Berlin +19 more,"Work Life Balance, Company Culture, Salary & Benefits"
2434,National Fertilizers,4.2,278,1k,--,Agro Chemicals | 1k-5k Employees | Public | 49 years old | Noida +24 more,"Job Security, Work Life Balance, Company Culture"
2435,Indian Space Research Organisation,4.4,278,1.2k,--,Defence & Aerospace | 10k-50k Employees | Public | 54 years old | Bangalore/Bengaluru +19 more,"Work Life Balance, Skill Development / Learning, Work Satisfaction"
2436,SkillVertex,3.8,278,217,2,EdTech | 201-500 Employees | 2 years old | Bangalore +6 more,"Company Culture, Skill Development / Learning"
2437,Saft Batteries,3.7,278,28,--,Hyderabad/Secunderabad +104 more,
2438,Siti Networks,3.9,277,1.1k,--,Media & Entertainment | 201-500 Employees | Public | 29 years old | Noida +48 more,Work Life Balance
2439,Buzzworks Business Services,3.8,277,1.7k,48,Recruitment | 501-1k Employees | 24 years old | Chennai +44 more,Work Life Balance
2440,Mahendra NextWealth IT,3.7,277,1.2k,3,IT Services & Consulting | 1k-5k Employees | 14 years old | Salem +12 more,Job Security
2441,Yusen Logistics,4.1,277,1.5k,4,Logistics | 501-1k Employees | 68 years old | Tokyo +29 more,"Company Culture, Job Security, Skill Development / Learning"
2442,EXEDY,3.8,277,1.6k,--,Auto Components | 201-500 Employees | 46 years old | Keysborough +16 more,"Job Security, Skill Development / Learning"
2443,Jeeves Consumer Services,3.8,277,818,2,Consumer Electronics & Appliances | 5k-10k Employees | 16 years old | Bangalore +49 more,
2444,Ashapura Group Of Industries,4.0,277,1.6k,5,201-500 Employees | Public | 63 years old | Mumbai +27 more,"Work Life Balance, Job Security, Company Culture"
2445,Micromatic Machine Tools,4.5,276,918,15,Industrial Machinery | 501-1k Employees | Public | 50 years old | Bengaluru +31 more,"Skill Development / Learning, Company Culture, Job Security"
2446,Star Bazaar,4.1,276,1.1k,1,Retail | 1k-5k Employees | 25 years old | Mumbai +26 more,"Job Security, Company Culture, Work Life Balance"
2447,JoulestoWatts Business Solutions,2.9,276,2.4k,219,IT Services & Consulting | 201-500 Employees | Startup | 8 years old | Bangalore +13 more,"Job Security, Promotions / Appraisal, Work Satisfaction"
2448,Nettur Technical Training Foundation,4.2,276,1.2k,2,Education & Training | 501-1k Employees | 60 years old | Bangalore/Bengaluru +36 more,"Job Security, Skill Development / Learning, Work Life Balance"
